train,stations
train_1,"Den Haag HS, Delft, Den Haag Centraal, Gouda, Alphen a/d Rijn, Utrecht Centraal, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen"
train_2,"Heerlen, Sittard, Maastricht"
train_3,"Groningen, Assen, Zwolle, Almelo, Hengelo, Enschede"
train_4,"Alphen a/d Rijn, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Hilversum, Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar"
train_5,"Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Gouda"
train_6,"Roosendaal, Etten-Leur, Breda, Tilburg, Eindhoven, Helmond, Venlo"
train_7,"Rotterdam Blaak, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Gouda, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal"
train_8,"Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum"
train_9,"Almelo, Deventer, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Amsterdam Amstel, Hilversum, Almere Centrum"
train_10,"Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Amersfoort, Apeldoorn, Deventer"
train_11,"Rotterdam Centraal, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle"
train_12,"Den Helder, Alkmaar, Hoorn, Zaandam, Beverwijk, Castricum"
train_13,"Vlissingen, Roosendaal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI"
score,6857.640449438202
